Original Signal,Approximation,D 1,D 2,D 3,D 4
-1.600000000000000033e-01,4.492498101131017080e-02,-1.826601227674027883e-01,2.417064999597375030e-01,-1.164471616684250144e+00,-2.407569409915910341e-01
-1.400000000000000133e-01,8.148754700338309287e-02,-1.373076159951924780e-01,3.601544984045802755e-02,-1.171482354000706216e+00,-3.863021973789281804e-01
2.099999999999999922e-01,1.206628841941252278e-01,-5.025816343377063206e-02,-2.349176933962832392e-01,-8.547690183685114906e-01,-5.543266881350102926e-01
5.100000000000000089e-01,1.592921874620295830e-01,1.354267057707342625e-01,-4.112088490407173613e-01,-3.114310316805511958e-01,-7.276257774518375410e-01
9.200000000000000400e-01,1.940112130351049069e-01,-6.957432611882669038e-02,-4.259951637802251723e-01,2.978066628053982479e-01,-8.758690254099428252e-01
1.209999999999999964e+00,2.221220659623759919e-01,6.278749401994347668e-02,-1.023849183560533865e-01,8.040688037168535196e-01,-9.581976604657020946e-01
1.290000000000000036e+00,2.423061787293977754e-01,-1.240531390473672696e-01,4.809386023321554626e-01,1.094756228319527347e+00,-9.348288405652454003e-01
9.599999999999999645e-01,2.550409319464663205e-01,1.339648448233898281e-01,6.262321594880614350e-01,1.115684097349273873e+00,-7.838832878606947219e-01
3.800000000000000044e-01,2.620278608673685672e-01,-5.565846703822550923e-02,7.358755715676829068e-02,8.698746394416576599e-01,-5.094654035873218412e-01
-7.099999999999999645e-01,2.652752908895675832e-01,1.938714210688965642e-02,-3.513208025680705227e-01,4.155372644238168323e-01,-1.380586980025967081e-01
-9.200000000000000400e-01,2.666360284954933380e-01,-4.296346538536045118e-02,-1.326224288728480860e-01,-1.598401305900067904e-01,2.895976118251506470e-01
-5.999999999999999778e-01,2.674199659317371691e-01,2.941767696826579417e-02,1.578034217166467412e-01,-7.234322328376183719e-01,7.221157217952933749e-01
-4.400000000000000022e-01,2.683267913988621745e-01,1.406287309826611404e-03,6.598792538160851151e-02,-1.117592437828978991e+00,1.099826916127577769e+00
-2.899999999999999800e-01,2.695870308278943139e-01,1.528594478638315921e-02,-1.434217163170956599e-01,-1.218736085508844935e+00,1.360691784260298576e+00
-5.999999999999999778e-02,2.706598746789113386e-01,3.443540281436430726e-03,-2.372602745142938785e-01,-9.695738126946004121e-01,1.455389898649633196e+00
4.600000000000000200e-01,2.701435361062841101e-01,-9.837463018948930382e-03,-2.196413527998626047e-01,-4.264941036089164861e-01,1.366545319606563558e+00
1.030000000000000027e+00,2.663084634968278519e-01,-1.572678287119632923e-01,4.218362979273281715e-02,2.488604669658782131e-01,1.114966839994042669e+00
1.530000000000000027e+00,2.577849666592789690e-01,1.906162166119869661e-01,4.870734328143112579e-01,8.622067252353966538e-01,7.504603197043775431e-01
1.459999999999999964e+00,2.444235617601263622e-01,6.813705428927843699e-02,4.841694822936551956e-01,1.251330139623207272e+00,3.336928126310526599e-01
1.070000000000000062e+00,2.277315752678495120e-01,-1.343268346717713946e-01,-2.640122409948029158e-01,1.334769694626920300e+00,-7.621448204233724488e-02
1.400000000000000133e-01,2.101947685417306644e-01,-3.209290680774518761e-02,-8.283493672188578794e-01,1.103958435685429507e+00,-4.261183636032174760e-01
-5.600000000000000533e-01,1.943452845234001636e-01,2.393110377922880866e-02,-2.920860688647655690e-01,6.014071290681071158e-01,-6.723267182853628343e-01
-1.159999999999999920e+00,1.821413583482062171e-01,5.011143137366340372e-02,6.229898012688794839e-01,-1.100880206215389678e-01,-7.877327387820610705e-01
