sl.no.,rainfall,spi_1
328,21.09,-0.39
329,21.09,-0.39
330,253.12,1.19
331,305.86,1.38
332,268.95,1.25
333,305.86,1.38
334,15.82,-0.51
335,0.00,0.31
336,0.00,0.30
337,0.00,0.30
338,0.00,0.29
339,10.55,-0.67
340,5.27,-0.92
341,63.28,0.17
342,84.38,0.35
343,479.88,1.87
344,247.85,1.17
345,100.20,0.46
346,52.73,0.07
347,31.64,-0.20
348,5.27,-0.92
349,10.55,-0.67
350,0.00,0.04
351,5.27,-0.92
352,21.09,-0.39
353,58.01,0.12
354,232.03,1.11
355,379.69,1.60
356,321.68,1.43
357,247.85,1.17
358,126.56,0.62
359,52.73,0.07
360,58.01,0.12
361,0.00,0.69
362,15.82,-0.51
363,0.00,0.52
364,63.28,0.17
365,89.65,0.38
366,116.02,0.56
367,311.13,1.39
368,337.50,1.48
369,290.04,1.32
370,0.00,1.07
371,0.00,1.14
372,15.82,-0.51
373,15.82,-0.51
374,0.00,0.38
375,0.00,0.34
376,52.73,0.07
377,47.46,0.01
378,189.84,0.94
379,495.70,1.91
380,411.33,1.69
381,258.40,1.21
382,31.64,-0.20
383,68.55,0.22
384,0.00,0.87
385,0.00,0.91
386,5.27,-0.92
387,0.00,0.01
388,58.01,0.12
389,15.82,-0.51
390,295.31,1.34
391,316.41,1.41
392,237.30,1.13
393,168.75,0.84
394,242.58,1.15
395,10.55,-0.67
396,0.00,0.68
397,0.00,0.71
398,15.82,-0.51
399,15.82,-0.51
400,26.37,-0.29
401,52.73,0.07
402,110.74,0.53
403,448.24,1.79
404,268.95,1.25
405,305.86,1.38
406,84.38,0.35
407,0.00,0.63
408,0.00,0.64
409,5.27,-0.92
410,0.00,0.36
411,21.09,-0.39
412,42.19,-0.06
413,26.37,-0.29
414,348.05,1.51
415,195.12,0.96
416,337.50,1.48
417,311.13,1.39
418,10.55,-0.67
419,10.55,-0.67
420,5.27,-0.92
421,0.00,0.04
422,0.00,0.01
423,15.82,-0.51
424,10.55,-0.67
425,31.64,-0.20
426,174.02,0.87
427,311.13,1.39
428,258.40,1.21
429,290.04,1.32
430,121.29,0.59
431,0.00,0.55
432,0.00,0.57
433,0.00,0.59
434,0.00,0.61
435,21.09,-0.39
436,5.27,-0.92
437,26.37,-0.29
438,168.75,0.84
439,474.61,1.86
440,279.49,1.29
441,158.20,0.79
442,121.29,0.59
443,5.27,-0.92
444,0.00,0.38
445,0.00,0.38
446,0.00,0.37
447,5.27,-0.92
448,42.19,-0.06
449,21.09,-0.39
450,73.83,0.26
451,311.13,1.39
452,495.70,1.91
453,179.30,0.89
454,47.46,0.01
455,0.00,0.58
456,68.55,0.22
457,5.27,-0.92
458,15.82,-0.51
459,10.55,-0.67
460,15.82,-0.51
461,36.91,-0.12
462,79.10,0.30
463,432.42,1.75
464,469.34,1.85
465,284.77,1.31
466,89.65,0.38
467,0.00,0.50
468,0.00,0.50
469,10.55,-0.67
470,52.73,0.07
471,47.46,0.01
472,26.37,-0.29
473,36.91,-0.12
474,316.41,1.41
475,189.84,0.94
476,326.95,1.44
