Original Signal,Approximation,D 1,D 2,D 3,D 4
-3.499999999999999778e-01,-2.201971762023169632e-01,-6.415406594869133006e-02,2.834391113412301766e-01,-1.187910127088598999e+00,6.156542117113980583e-02
-4.199999999999999845e-01,-1.661283697191094921e-01,3.177860602017803376e-02,-1.916412628667015991e-02,-1.124726341607972024e+00,1.321405103315010376e-01
8.999999999999999667e-02,-1.073990238351219539e-01,-6.069044917948875073e-02,-2.972968386484437509e-01,-7.678955075591586965e-01,1.741957414516860647e-01
7.800000000000000266e-01,-4.712398453744519322e-02,8.472834011515757713e-02,-4.469910683741327717e-01,-2.162038970148302264e-01,1.804190523298562498e-01
1.129999999999999893e+00,1.151995922781494201e-02,-8.701831826555288252e-02,-4.234383885228077959e-01,3.852021971728193939e-01,1.510973323470441443e-01
1.409999999999999920e+00,6.540271670174366281e-02,1.063886162491826520e-01,-4.600103382459575646e-02,8.673448694972085704e-01,9.192508509071609102e-02
1.350000000000000089e+00,1.128484577432823516e-01,-1.083010275533964339e-01,5.159047368027972480e-01,1.110615525119129643e+00,1.049936878588240106e-02
1.060000000000000053e+00,1.537294443732152016e-01,4.310622807260151845e-02,5.801650120322759951e-01,1.068655706792877469e+00,-7.508724003283422099e-02
5.000000000000000000e-01,1.886778163117158735e-01,-2.637976525847109815e-02,2.882275236716940955e-02,7.620312251121049707e-01,-1.395503259462996803e-01
-5.999999999999999778e-01,2.189666347291763793e-01,7.334872158165818556e-02,-3.452914950019660423e-01,2.952389326479663012e-01,-1.677052463948597583e-01
-5.500000000000000444e-01,2.456273628378214113e-01,-2.474295297425039512e-03,-1.415239309845947036e-01,-1.821397368361481195e-01,-1.587013237914779995e-01
-1.000000000000000056e-01,2.686009487128763196e-01,-9.172087121695346457e-02,1.502090422941100289e-01,-5.514043522010281251e-01,-1.222799627148544732e-01
0.000000000000000000e+00,2.875487656790984836e-01,4.473307920044877761e-02,1.475270263070409260e-01,-7.409747227317229346e-01,-7.693866518227256146e-02
8.000000000000000167e-02,3.017573538518125154e-01,1.358029016501437029e-02,-2.938482052534222705e-03,-7.497385231034109365e-01,-3.739375351120862584e-02
2.099999999999999922e-01,3.100058984112868399e-01,4.711622650905603754e-02,-1.175933739537858291e-01,-6.563800871180988095e-01,-6.866094170438501523e-03
6.099999999999999867e-01,3.115472304802522907e-01,-4.819791005766548703e-02,-1.918414267471991452e-01,-4.991809502317554048e-01,1.080424848899650715e-02
1.129999999999999893e+00,3.057263890653224014e-01,-1.889936026931676449e-01,-2.198705848337960678e-01,-2.668777193915012891e-01,9.408845010824421970e-03
1.550000000000000044e+00,2.921167914266250554e-01,2.693343172278336861e-01,-1.183646476791583441e-01,3.712576580737508153e-02,-9.680574533788148181e-03
1.449999999999999956e+00,2.716548922147987710e-01,3.927221373618253880e-02,9.563532684059779243e-02,4.189545795833180541e-01,-3.777739931033805010e-02
1.070000000000000062e+00,2.464518542737337559e-01,-1.747458770363329583e-01,2.305676828045707949e-01,7.817812462348792124e-01,-5.963804131456910268e-02
1.400000000000000133e-01,2.193887755351479341e-01,-4.931992950427689301e-03,2.092802707510391380e-01,9.377654548593190587e-01,-5.644768709524317085e-02
-2.600000000000000089e-01,1.938433627137942095e-01,3.132186393587139267e-02,1.569042586547978735e-01,7.956704032051065134e-01,-2.078468541733292582e-02
-9.100000000000000311e-01,1.725041973859177957e-01,4.028426823880613961e-02,9.888656294421452331e-02,3.577913130773082706e-01,3.780264076584308880e-02
-1.239999999999999991e+00,1.566610589783180574e-01,6.046889715167139655e-03,-2.868164542295462485e-02,-2.404131258466098986e-01,1.042380881081068217e-01
-1.239999999999999991e+00,1.467512276361581380e-01,4.471529552545224113e-03,-1.514519738249372471e-01,-7.355152626334329202e-01,1.642574561931862409e-01
-9.100000000000000311e-01,1.422015353599471454e-01,-4.438199847917068119e-02,-1.779624868084929423e-01,-9.616194758617053751e-01,2.055350722860961599e-01
-4.600000000000000200e-01,1.413350813152083607e-01,1.537445445099350737e-02,-1.444232919860962416e-01,-8.759485425565138872e-01,2.205792431597509151e-01
3.400000000000000244e-01,1.422477720323596095e-01,-7.530042806385760235e-02,-1.126283818482022164e-01,-5.128548735256079905e-01,2.040199205513321123e-01
7.299999999999999822e-01,1.428626481150327421e-01,1.638294816966092970e-01,-9.399247609228586486e-02,-2.719192109533556320e-02,1.532879999677130567e-01
1.110000000000000098e+00,1.414719476964410028e-01,-1.118766369688971862e-01,-3.745041389446568392e-02,4.401479906213574544e-01,7.596993085452599659e-02
1.090000000000000080e+00,1.377488112473204684e-01,7.040780308578142160e-03,1.252982666230360587e-01,8.004694443105110357e-01,-1.085790236462305137e-02
9.499999999999999556e-01,1.323497233419356489e-01,2.328240900412790679e-02,3.195583943742265065e-01,9.374995440773318256e-01,-8.722250217111068848e-02
4.199999999999999845e-01,1.266244460888844570e-01,4.268367563712823290e-05,3.334590392616853527e-01,8.039403399484198465e-01,-1.368579967909150652e-01
-1.300000000000000044e-01,1.224374269907554935e-01,-2.907862017698771215e-02,1.088320073073087701e-01,4.305133544776620913e-01,-1.531419526165248013e-01
-7.299999999999999822e-01,1.212197036345090684e-01,7.471851867399530167e-02,-1.405377245804476649e-01,-1.026839579350775356e-01,-1.391692258955737060e-01
-5.999999999999999778e-01,1.234833810949282074e-01,-9.084372939569103356e-02,-2.204706071435863224e-01,-6.129411236507112948e-01,-1.040501869944238239e-01
-7.299999999999999822e-01,1.289401874245596213e-01,4.807219161741817931e-02,-2.136353499318904003e-01,-9.221630259543848185e-01,-6.091515259569405677e-02
