Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-2.000000000000000111e-01,6.970493604174304858e-02,-1.410276430264917336e-01,3.471276494699447879e-01,-5.237382294606774957e-01,-2.836180177252500823e-01,-1.405127387750227941e-01,2.343390960912993815e-01
-4.000000000000000083e-02,7.563107386768987139e-02,3.834188188385742602e-02,2.841302396043478562e-01,-2.542476386589535009e-01,-4.254343393708104881e-01,-1.140438913326617121e-01,2.374271955757947250e-01
3.300000000000000155e-01,8.035916915826647744e-02,7.885351225556692933e-02,1.533202756998942595e-01,9.498552310764318829e-02,-4.427799382587591093e-01,-7.772927812873228759e-02,2.445244560708670911e-01
6.999999999999999556e-01,8.395546578837088936e-02,4.785633936491212603e-02,3.654293773004302359e-02,4.608460473475299302e-01,-3.191237524079172383e-01,-3.474086346617630272e-02,2.550923646550266044e-01
9.599999999999999645e-01,8.705385194346886013e-02,2.747154331884660294e-03,-3.593813736666462422e-02,7.422980399196693613e-01,-1.008553177606953677e-01,-9.579273404510812995e-04,2.659606426236303944e-01
1.199999999999999956e+00,9.046200762863304545e-02,-4.100831450100933528e-02,-1.186669085452691230e-01,8.583137604049335678e-01,9.806309802463972214e-02,1.172515617920144582e-02,2.740067604681895586e-01
1.229999999999999982e+00,9.491339204354544423e-02,1.218712649600106612e-02,-2.821478216934888428e-01,7.093786018735890320e-01,2.413436156821115453e-01,-1.369853542275673020e-03,2.778862989425801566e-01
1.020000000000000018e+00,1.013918488134349510e-01,3.458740046006325564e-03,-3.802426747067696455e-01,3.106898311898235732e-01,3.374845338655201310e-01,-3.984719867177979880e-02,2.762728015010608718e-01
5.500000000000000444e-01,1.097242731742006649e-01,-1.160593766742190613e-02,-2.283780960179393471e-01,-1.944675957932021082e-01,3.801497856941407627e-01,-8.546609367728769113e-02,2.696633200456172164e-01
-3.400000000000000244e-01,1.191681406139130928e-01,1.492695381288045020e-02,6.325181812708954854e-02,-6.756141955939121146e-01,3.429921621406444299e-01,-1.191315493822767135e-01,2.602488677865802957e-01
-7.099999999999999645e-01,1.290295566620673351e-01,-1.604643425686696490e-01,2.622831005285295447e-01,-9.643175992391986862e-01,2.435465655128147278e-01,-1.355234931080727123e-01,2.483548044527373877e-01
-3.900000000000000133e-01,1.384662039359462471e-01,-2.793640447178241670e-02,2.892051813186768960e-01,-9.640478988636385083e-01,9.647382388175572421e-02,-1.341924616391607650e-01,2.356817368947400071e-01
-2.000000000000000111e-01,1.469522860261799901e-01,2.162966079113280982e-01,2.015681660129746144e-01,-7.079129045343199866e-01,-5.251017698972189340e-02,-1.126376375662871826e-01,2.262910017762005399e-01
1.300000000000000044e-01,1.540054678926318643e-01,-1.492038674563156420e-04,1.134839716524834730e-01,-2.581427727435625097e-01,-1.387158979427478844e-01,-7.399650347229577707e-02,2.222533108048749817e-01
2.999999999999999889e-01,1.589474205444946775e-01,-7.968569135722775032e-03,9.684852540020039147e-02,2.584408192301304585e-01,-1.442426990421511734e-01,-2.234706924468501943e-02,2.247058652420255154e-01
7.399999999999999911e-01,1.618023815703575063e-01,-8.621941166675917145e-02,1.077954029159655658e-02,6.879625226466377086e-01,-8.906118515356745147e-02,4.006002005712724912e-02,2.329529529572478552e-01
1.120000000000000107e+00,1.639842975778940393e-01,3.929826866991020795e-02,-2.942733277203525288e-01,9.226993974353804306e-01,-1.323011696347495270e-02,9.545895806937773620e-02,2.420043401791567295e-01
1.439999999999999947e+00,1.663058955306345732e-01,2.272074642053134585e-02,-5.207237221701619401e-01,8.919254460159096176e-01,6.025423212419148133e-02,1.286398865299768213e-01,2.479565005305383596e-01
1.360000000000000098e+00,1.695951228659824117e-01,4.214370432855607529e-02,-3.142708861361879213e-01,5.982672045076901091e-01,1.077229620958627399e-01,1.338203501603091594e-01,2.489026568233231318e-01
1.010000000000000009e+00,1.744784206862907694e-01,-3.874769727199622871e-02,9.546568744373043480e-02,1.460082747370964329e-01,1.143112461168730443e-01,1.068750159344665496e-01,2.430790254186410704e-01
3.699999999999999956e-01,1.805019912305826646e-01,-2.862381053059026570e-02,3.014108119484371628e-01,-3.193614036456500216e-01,8.097340976027847526e-02,6.671079683257738480e-02,2.309352509621141469e-01
-1.700000000000000122e-01,1.873180671260799290e-01,-6.733793100307286505e-02,2.486463055355296603e-01,-6.414977382200426348e-01,9.861392470445040637e-03,3.641715332922748627e-02,2.144574893253462511e-01
-7.099999999999999645e-01,1.950451701365497059e-01,2.436882485112551455e-02,1.139199825712172293e-01,-7.165444601457197082e-01,-8.927425024852261859e-02,2.764682687710187659e-02,1.950956989305673572e-01
-8.299999999999999600e-01,2.030900262670247425e-01,-3.380177727123379050e-02,6.723894832627563822e-02,-5.349862263621861791e-01,-1.838028534713556650e-01,4.730198303009890137e-02,1.753032534443658974e-01
-7.099999999999999645e-01,2.104032745175181962e-01,4.475964815933541896e-02,1.184170663487073560e-01,-1.609270371902264130e-01,-2.368006679222755539e-01,8.446330130994121610e-02,1.572041048103201555e-01
-5.500000000000000444e-01,2.167710111388444771e-01,6.693284061842968979e-02,1.380621810096479551e-01,2.513611054432365322e-01,-2.321512934246756643e-01,1.238675586835086134e-01,1.409347000849020537e-01
-2.700000000000000178e-01,2.213597342938737889e-01,-1.465094966421381928e-02,4.135055933421449836e-02,5.557740350751684266e-01,-1.640438097922257699e-01,1.639895919475260755e-01,1.277562692103855757e-01
4.500000000000000111e-01,2.238501464643697647e-01,-7.445331857899409322e-02,-1.265450050390096726e-01,6.403051357784790287e-01,-4.609303729744726463e-02,2.064594050326702124e-01,1.180238454831749606e-01
8.599999999999999867e-01,2.254455613639688438e-01,1.244793260722045908e-01,-2.786130061894676047e-01,4.571137499228221657e-01,8.310615920489183850e-02,2.334155754476360811e-01,1.082452533834303149e-01
1.139999999999999902e+00,2.268510887740770587e-01,-1.000758110154564839e-02,-3.466152966663267887e-01,1.035300920752477427e-01,1.920119062687999922e-01,2.308835052891073381e-01,9.490633029113212937e-02
1.100000000000000089e+00,2.287286065024528026e-01,-2.047783944791903288e-02,-2.383866508088993974e-01,-2.934603876992150640e-01,2.561352384215931921e-01,1.949074526292245979e-01,7.584379032759741568e-02
9.499999999999999556e-01,2.318700185852708151e-01,-5.257304150502273288e-02,2.094378024462384413e-03,-5.990741605705504069e-01,2.563419375567740355e-01,1.193176624519566714e-01,4.951273862567019679e-02
5.300000000000000266e-01,2.359415315372961341e-01,1.454462303079828711e-02,1.331417560005753731e-01,-7.107443402572743985e-01,1.925459701234441545e-01,2.772832563596874106e-02,1.774340201660742911e-02
1.000000000000000056e-01,2.402670255568327418e-01,-3.286685907716879740e-02,1.255156879202431464e-01,-6.354737410189160718e-01,7.769956526037495592e-02,-5.226953559662288890e-02,-1.626656160415163033e-02
-7.099999999999999645e-01,2.445949618059725383e-01,5.794794087887925049e-02,1.788157366741461862e-01,-4.015510540002614759e-01,-7.001975733353980880e-02,-1.107118758880518694e-01,-5.111976379586592734e-02
