Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-1.600000000000000033e-01,1.328291559266417121e-01,-1.384048235118755243e-01,-2.922653183401028310e-01,-5.531809213563683159e-01,-9.912377538310128688e-01,-1.518084159297994895e-01,-2.162949158539563543e-02
-1.400000000000000133e-01,1.345462488642379106e-01,9.773154235105079024e-02,2.811618750843111192e-01,-1.491738297701559746e-01,-1.150079425684314760e+00,-1.083968982984923612e-01,-5.631063640312655716e-03
2.099999999999999922e-01,1.345616519826995372e-01,1.511167574787686263e-02,4.651921559495835190e-01,2.701046326216406945e-01,-1.126827408082441639e+00,-5.205672438679181946e-02,1.565967969913366342e-02
5.100000000000000089e-01,1.331576118924554242e-01,5.169781324326710309e-02,3.779413787235681443e-01,5.741450776862320193e-01,-9.252414419799115386e-01,8.013496122713570369e-03,4.113541028263231758e-02
9.200000000000000400e-01,1.308749544758081029e-01,-2.433838663373771860e-02,1.309076550469066014e-01,6.726995111572741104e-01,-5.508647488190778763e-01,5.661432627466791989e-02,6.752975702729643870e-02
1.209999999999999964e+00,1.282352602323052204e-01,1.460866486151918275e-02,-1.550771928392292720e-01,5.643120293623066219e-01,-1.357873364426511187e-01,8.236587059687217049e-02,9.129997772434006453e-02
1.290000000000000036e+00,1.256959032317173097e-01,1.068954497318619357e-02,-3.641823337328451982e-01,3.628690911480176307e-01,1.888986800112141540e-01,8.221587820072659425e-02,1.091603624058272992e-01
9.599999999999999645e-01,1.236021400093184064e-01,1.417199551221171028e-02,-3.937609430195013749e-01,1.519065717855180575e-01,4.266236580246094423e-01,6.142004146257676322e-02,1.201042729607654236e-01
3.800000000000000044e-01,1.223569090996911440e-01,-4.709902337604815470e-02,-2.010865024459296269e-01,2.154189998181610388e-02,5.886786975306211867e-01,2.839031677744094373e-02,1.244140964164812818e-01
-7.099999999999999645e-01,1.222130159652533299e-01,2.061622686882527700e-02,4.518265806346942470e-02,-8.817140305925630361e-02,6.455505343000542684e-01,-4.094226319363930555e-03,1.242715721774753090e-01
-9.200000000000000400e-01,1.229699397903178254e-01,-2.257485448459816690e-01,1.898568873675700042e-01,-2.921236626588463725e-01,6.028237779968437238e-01,-3.041110400429206106e-02,1.218854987164082748e-01
-5.999999999999999778e-01,1.239948495414279206e-01,6.198505396904857578e-02,2.380060175335041994e-01,-5.006632532004274827e-01,4.858953612414530498e-01,-4.673126940667596263e-02,1.195033906658166389e-01
-4.400000000000000022e-01,1.244081486905638523e-01,2.249844723429709203e-01,2.276556205609782946e-01,-6.494668651543179516e-01,3.212766795691286426e-01,-4.661559414452545735e-02,1.210761489927340978e-01
