Original Signal,Approximation,D 1,D 2,D 3
-8.000000000000000167e-02,4.908380074230220824e-01,-1.016392293784319639e-01,-2.578117654660478375e-01,6.518174926984698914e-01
-9.200000000000000400e-01,4.323144405759308806e-01,-2.014976883217187709e-01,-4.047680034243990588e-01,2.090848358967229426e-01
2.200000000000000011e-01,3.795494697763953651e-01,-6.636477378448110698e-02,-2.039881918765227009e-01,-2.692403005396697968e-01
-2.000000000000000042e-02,3.391783200453589719e-01,5.141011095306355916e-01,9.105384110308567536e-02,-6.724658448490661300e-01
4.799999999999999822e-01,3.158385355456824750e-01,-2.467836569532319557e-01,2.344045301533711212e-01,-9.137667074609634454e-01
9.200000000000000400e-01,3.115798580422241559e-01,-6.103306583425422982e-01,2.336566462240358688e-01,-9.388473661748029109e-01
1.260000000000000009e+00,3.248732959300821843e-01,9.535655087638197358e-01,1.166686470332343462e-01,-7.310339885893495371e-01
1.370000000000000107e+00,3.519191739082405124e-01,-3.738960864236336445e-01,-1.527351984760343673e-01,-3.238411457851035902e-01
1.169999999999999929e+00,3.865179854384624414e-01,-2.260621916681090082e-01,-3.682312734652748998e-01,1.951223615222167918e-01
-2.200000000000000011e-01,4.223472340349659349e-01,6.610305061724867925e-02,-1.879505851259589966e-01,6.891478532381825062e-01
1.199999999999999956e+00,4.523028082611527667e-01,4.714961279228533364e-01,2.846219787552501934e-01,1.004539078847486611e+00
-9.200000000000000400e-01,4.708655922518073522e-01,-6.594312696165037790e-01,4.914571267779440644e-01,1.024830575208380390e+00
-5.200000000000000178e-01,4.739809681879015302e-01,4.955302347475597502e-01,1.237685087470227346e-01,7.193856357819438108e-01
-3.099999999999999978e-01,4.606141899112782268e-01,-3.636654314277883993e-01,-4.654837892147437040e-01,1.731734186843287004e-01
-3.099999999999999978e-01,4.320664949392032939e-01,2.795892717841333974e-01,-6.044529554224691292e-01,-4.362106222682351486e-01
-8.000000000000000167e-02,3.917037918256068840e-01,-6.845888149842163650e-02,-2.777379969962473494e-02,-9.000098029442948899e-01
2.600000000000000089e-01,3.448290308110202318e-01,-1.145263125933034254e-01,6.741312144798391470e-01,-1.057374266650378702e+00
9.799999999999999822e-01,2.973948194012225876e-01,2.270706209390671929e-02,6.183297571084770405e-01,-8.604415500484897672e-01
1.540000000000000036e+00,2.555141400170382604e-01,1.457593247026628402e-01,-1.691011983567008437e-01,-3.881679152915512021e-01
1.850000000000000089e+00,2.239039310110076675e-01,9.230849931077967502e-03,-6.897243234693702929e-01,1.862565461612370743e-01
7.099999999999999645e-01,2.062728645892121238e-01,-3.771859609277977698e-01,-3.794966001403315414e-01,6.660292455605052453e-01
-8.000000000000000167e-02,2.042366407411160545e-01,4.806382185673043761e-01,2.063812665440382110e-01,9.033905275757824205e-01
-6.800000000000000488e-01,2.171872966279726480e-01,-2.204239264338244131e-01,4.060440750686056255e-01,8.453634853826157425e-01
4.899999999999999911e-01,2.425056676644611608e-01,2.395739011337421048e-03,2.528373656797215929e-01,5.407545054388050998e-01
4.899999999999999911e-01,2.761541359221012515e-01,-1.030721367422835349e-01,2.149824067824308935e-03,1.084859346210282349e-01
-4.099999999999999756e-01,3.135188581892287552e-01,3.836887338050342100e-01,-2.605124385468132742e-01,-3.113449302962599807e-01
2.000000000000000111e-01,3.495747788218948049e-01,-5.404791396266673820e-01,-3.524943928933330084e-01,-6.046744392747357422e-01
-4.099999999999999756e-01,3.802832515506109901e-01,3.883594771441398197e-01,-7.998884985765752909e-02,-7.123790172963974099e-01
-4.099999999999999756e-01,4.024613868236657788e-01,-4.605497602576733712e-02,3.355224788895094790e-01,-6.349634480292161154e-01
