Original Signal,Approximation,D 1,D 2,D 3,D 4
-8.000000000000000167e-02,-1.033165832300366321e-01,-2.399688023891292932e-01,1.446148969990867506e-01,-6.431128702057696822e-01,-4.838732257159845951e-02
3.900000000000000133e-01,-6.296321065411651652e-02,-8.104185334798665041e-02,-5.593013610270992225e-02,-1.155600781236244101e+00,-4.071674116128094073e-02
8.599999999999999867e-01,-1.607801909777405863e-02,-5.106418530468959105e-02,-2.375869810573181806e-01,-1.385852948558052633e+00,-3.586716350183070251e-02
1.090000000000000080e+00,3.371906618932485333e-02,1.287893006963622688e-01,-1.556533970886610496e-01,-1.279635104829947467e+00,-5.028951225315354129e-02
1.080000000000000071e+00,8.247028688565538612e-02,-3.304946627800275233e-02,2.585267215288489587e-02,-8.417680284920386891e-01,-9.672941930703722602e-02
9.399999999999999467e-01,1.266847753066569493e-01,3.958140840949114780e-02,2.278271596230558790e-02,-1.649003342170661801e-01,-1.751575681793891281e-01
6.899999999999999467e-01,1.637144785261366864e-01,-3.128522953358643666e-02,-1.416429116695876456e-01,5.843177383790700841e-01,-2.709038877145181767e-01
2.600000000000000089e-01,1.919312943951372308e-01,-1.882747521749264241e-01,-2.244932952644526358e-01,1.191613998920541651e+00,-3.578688015053099747e-01
-3.900000000000000133e-01,2.106673093630020421e-01,2.867519627487505884e-01,-5.563270325262194282e-02,1.463721119509425295e+00,-4.069396375469118698e-01
-1.350000000000000089e+00,2.203644132018310053e-01,-4.207518963190368111e-02,2.828204537259520479e-01,1.326412464803986335e+00,-3.994146191746159036e-01
-1.290000000000000036e+00,2.228121175102215912e-01,-1.041073412266756426e-01,4.526637607132625307e-01,8.364631603420350503e-01,-3.321007417088294167e-01
-8.900000000000000133e-01,2.206716131486004817e-01,-1.339385734058034724e-02,2.164885409923756332e-01,1.536180499317862380e-01,-2.117327655838634748e-01
-2.500000000000000000e-01,2.165816181642848393e-01,4.315186819650922850e-02,-1.717726432986365348e-01,-5.244044508826894990e-01,-5.281454492464277006e-02
4.699999999999999734e-01,2.123108207388645363e-01,3.619153741481179881e-02,-2.845469985845358041e-01,-1.046947646022811984e+00,1.220982190770390774e-01
