year,month,rainfall
2008,2,15.82
2008,3,42.19
2008,4,10.55
2008,5,5.27
2008,6,221.48
2008,7,232.03
2008,8,258.4
2008,9,337.5
2008,10,5.27
2008,11,0
2008,12,0
2009,1,0
2009,2,0
2009,3,10.55
2009,4,5.27
2009,5,26.37
2009,6,73.83
2009,7,553.71
2009,8,279.49
2009,9,84.38
2009,10,42.19
2009,11,36.91
2009,12,10.55
2010,1,15.82
2010,2,0
2010,3,5.27
2010,4,21.09
2010,5,26.37
2010,6,179.3
2010,7,448.24
2010,8,268.95
2010,9,284.77
2010,10,68.55
2010,11,31.64
2010,12,52.73
2011,1,0
2011,2,10.55
2011,3,0
2011,4,94.92
2011,5,42.19
2011,6,158.2
2011,7,348.05
2011,8,400.78
2011,9,337.5
2011,10,5.27
2011,11,0
2011,12,21.09
2012,1,26.37
2012,2,0
2012,3,0
2012,4,36.91
2012,5,15.82
2012,6,237.3
2012,7,564.26
2012,8,500.98
2012,9,258.4
2012,10,21.09
2012,11,26.37
2012,12,0
2013,1,0
2013,2,5.27
2013,3,0
2013,4,47.46
2013,5,0
2013,6,358.59
2013,7,474.61
2013,8,332.23
2013,9,168.75
2013,10,163.48
2013,11,352.268
2013,12,388.1278182
2014,1,0
2014,2,31.64
2014,3,10.55
2014,4,36.91
2014,5,15.82
2014,6,105.47
2014,7,490.43
2014,8,258.4
2014,9,305.86
2014,10,68.55
2014,11,0
2014,12,0
2015,1,5.27
2015,2,0
2015,3,26.37
2015,4,31.64
2015,5,21.09
2015,6,337.5
2015,7,210.94
2015,8,311.13
2015,9,284.77
2015,10,0
2015,11,0
2015,12,10.55
2016,1,0
2016,2,0
2016,3,15.82
2016,4,5.27
2016,5,15.82
2016,6,189.84
2016,7,379.69
2016,8,268.95
2016,9,342.77
2016,10,94.92
2016,11,0
2016,12,0
2017,1,0
2017,2,0
2017,3,21.09
2017,4,0
2017,5,5.27
2017,6,189.84
2017,7,437.7
2017,8,284.77
2017,9,210.94
2017,10,84.38
2017,11,0
2017,12,0
2018,1,0
2018,2,10.55
2018,3,5.27
2018,4,36.91
2018,5,21.09
2018,6,110.74
2018,7,332.23
2018,8,458.79
2018,9,121.29
2018,10,15.82
2018,11,0
2018,12,58.01
2019,1,10.55
2019,2,10.55
2019,3,10.55
2019,4,10.55
2019,5,21.09
2019,6,110.74
2019,7,437.7
2019,8,485.16
2019,9,427.15
2019,10,89.65
2019,11,0
2019,12,0
2020,1,10.55
2020,2,68.55
2020,3,42.19
2020,4,26.37
2020,5,84.38
2020,6,321.68
2020,7,263.67
2020,8,448.24
2020,9,174.02
2020,10,63.28
2020,11,5.27
2020,12,0
2021,1,0
2021,2,5.27
2021,3,0
2021,4,10.48
2021,5,107.5
2021,6,219.07
2021,7,423.36
2021,8,200.22
2021,9,330.78
2021,10,21.12
2021,11,35.56
2021,12,68.99
