year,month,rainfall
2008,1,15.82
2008,2,26.37
2008,3,58.01
2008,4,21.09
2008,5,21.09
2008,6,253.12
2008,7,305.86
2008,8,268.95
2008,9,305.86
2008,10,15.82
2008,11,0
2008,12,0
2009,1,0
2009,2,0
2009,3,10.55
2009,4,5.27
2009,5,63.28
2009,6,84.38
2009,7,479.88
2009,8,247.85
2009,9,100.2
2009,10,52.73
2009,11,31.64
2009,12,5.27
2010,1,10.55
2010,2,0
2010,3,5.27
2010,4,21.09
2010,5,58.01
2010,6,232.03
2010,7,379.69
2010,8,321.68
2010,9,247.85
2010,10,126.56
2010,11,52.73
2010,12,58.01
2011,1,0
2011,2,15.82
2011,3,0
2011,4,63.28
2011,5,89.65
2011,6,116.02
2011,7,311.13
2011,8,337.5
2011,9,290.04
2011,10,0
2011,11,0
2011,12,15.82
2012,1,15.82
2012,2,0
2012,3,0
2012,4,52.73
2012,5,47.46
2012,6,189.84
2012,7,495.7
2012,8,411.33
2012,9,258.4
2012,10,31.64
2012,11,68.55
2012,12,0
2013,1,0
2013,2,5.27
2013,3,0
2013,4,58.01
2013,5,15.82
2013,6,295.31
2013,7,316.41
2013,8,237.3
2013,9,168.75
2013,10,242.58
2013,11,10.55
2013,12,0
2014,1,0
2014,2,15.82
2014,3,15.82
2014,4,26.37
2014,5,52.73
2014,6,110.74
2014,7,448.24
2014,8,268.95
2014,9,305.86
2014,10,84.38
2014,11,0
2014,12,0
2015,1,5.27
2015,2,0
2015,3,21.09
2015,4,42.19
2015,5,26.37
2015,6,348.05
2015,7,195.12
2015,8,337.5
2015,9,311.13
2015,10,10.55
2015,11,10.55
2015,12,5.27
2016,1,0
2016,2,0
2016,3,15.82
2016,4,10.55
2016,5,31.64
2016,6,174.02
2016,7,311.13
2016,8,258.4
2016,9,290.04
2016,10,121.29
2016,11,0
2016,12,0
2017,1,0
2017,2,0
2017,3,21.09
2017,4,5.27
2017,5,26.37
2017,6,168.75
2017,7,474.61
2017,8,279.49
2017,9,158.2
2017,10,121.29
2017,11,5.27
2017,12,0
2018,1,0
2018,2,0
2018,3,5.27
2018,4,42.19
2018,5,21.09
2018,6,73.83
2018,7,311.13
2018,8,495.7
2018,9,179.3
2018,10,47.46
2018,11,0
2018,12,68.55
2019,1,5.27
2019,2,15.82
2019,3,10.55
2019,4,15.82
2019,5,36.91
2019,6,79.1
2019,7,432.42
2019,8,469.34
2019,9,284.77
2019,10,89.65
2019,11,0
2019,12,0
2020,1,10.55
2020,2,52.73
2020,3,47.46
2020,4,26.37
2020,5,36.91
2020,6,316.41
2020,7,189.84
2020,8,326.95
2020,9,168.75
2020,10,121.29
2020,11,5.27
2020,12,0
2021,1,0
2021,2,5.27
2021,3,0
2021,4,14.26
2021,5,78.12
2021,6,133.57
2021,7,284.63
2021,8,182.91
2021,9,276.47
2021,10,23.14
2021,11,41.33
2021,12,25.18
