rainfall,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,spi_48
36.91,-0.09867652405294486,,,,,,
5.27,-0.8603297328313899,,,,,,
26.37,-0.2541169610474895,-0.3490315263386562,,,,,
26.37,-0.2541169610474895,-0.42100839369763965,,,,,
116.02,0.5516366190577839,0.09405992337654025,,,,,
342.77,1.4379446856316245,0.7822616455344285,0.1449325545591721,,,,
279.49,1.242704723861269,1.131536023747067,0.5509430938150427,,,,
363.87,1.4981186202161754,1.4063317627610783,1.0224562158829635,,,,
290.04,1.2770086255908917,1.351768173825503,1.3118561664950883,1.1799273276364008,,,
26.37,-0.2541169610474895,1.0591960068316755,1.3118561664950883,1.1622447349601255,,,
10.55,-0.6221698946388876,0.4976500104484951,1.2005245243967986,1.1711129086850804,,,
0.0,-inf,-0.6033103544032837,0.7938628511656787,1.1266176460479167,0.9476608821456972,,
31.64,-0.17149012435548175,-0.5512460662366491,0.4373412618709548,1.1355511486226735,0.930731453253116,,
84.38,0.3481556698129945,-0.10271626936064925,-0.08166229993664113,1.0816005784260811,1.180930488901521,,
26.37,-0.2541169610474895,0.0023625090848608346,-0.8615066290924298,0.49364787207420396,1.180930488901521,,
52.73,0.0815060285809028,0.07657481166956044,-0.7553651477907107,0.00030550569246860494,1.2624936543423573,,
126.56,0.6109300410430322,0.2064646914666658,-0.3807270376059577,-0.6177259542132315,1.2948645462767745,,
205.66,0.97645417390896,0.6108432383005338,0.09400054019528224,-0.8749949646684841,0.8625602641937121,,
406.05,1.6124195879076466,1.1315238634061902,0.7018271330431275,0.13380635441269695,1.262462876894198,,
522.07,1.8944720282469816,1.5503092145784936,1.2288483861973578,1.1265837032040824,1.734697298700136,,
100.2,0.4554045903666744,1.4487271781856892,1.306397746455759,1.2930141638887374,1.1644563930353757,,
68.55,0.22579066353206506,1.0726216353635416,1.322683789475176,1.3525868016454432,1.2948338985167196,,
15.82,-0.46816180970666554,0.14417259378168618,1.2062068210544838,1.2412067520764318,1.3109683411166553,,
0.0,-inf,-0.2555671990407855,0.9723737874138222,1.1975129439043306,1.3109683411166553,1.4232716211762422,
0.0,-inf,-0.9051516391615007,0.4119918479641541,1.1086368429051188,1.2135861615691885,1.3498960052151405,
5.27,-0.8603297328313899,-1.2397447003329078,-0.8178022548228379,0.895947452685792,0.9644878925051593,1.3498960052151405,
0.0,-inf,-1.2397447003329078,-1.3467102664454926,0.5042430886705956,0.8795809734365029,1.2971254936414605,
10.55,-0.6221698946388876,-0.9051516391615007,-1.952972949404595,-0.41098323419989463,0.7417081119257773,1.265325937816704,
42.19,-0.03312671890792818,-0.46089327453367357,-1.6151174305465674,-2.2297557611928704,0.45784336043080687,1.1154895746415119,
205.66,0.97645417390896,0.34463909803486387,-0.553016189989632,-1.689041065219756,0.45784336043080687,0.8306911382905411,
205.66,0.97645417390896,0.7308660930847701,-0.024494843882562418,-1.1418695117050923,-0.26612740009002805,0.6736115313101256,
305.86,1.3270424598814408,1.1056453060365703,0.5111915276494184,-0.27200025024577407,-1.1472574248743166,0.5482593419628942,
189.84,0.9118024899218041,1.0859192700962559,0.7799690677454689,0.18099680244974017,-0.7671186485294611,0.3275368185148583,
100.2,0.4554045903666744,0.946651983244643,0.8949530623247259,0.3962956350835761,-0.6381757843317886,0.4906965085217862,
0.0,-inf,0.41832148551173737,0.841661143292737,0.3853147509557422,-0.7023028733727278,0.4675633040798023,
10.55,-0.6221698946388876,-0.1257927534341239,0.5743776691117132,0.4072614132754858,-0.6594670808373938,0.4906965085217862,
15.82,-0.46816180970666554,-0.728751171028195,0.27008679936368285,0.41817085649371805,-0.5957625593859501,0.45598526656308197,
10.55,-0.6221698946388876,-0.6033103544032835,-0.36618387413793907,0.35213283580327276,-0.5746397066908212,0.29218301589972956,
0.0,-inf,-0.728751171028195,-1.0587726499555679,-0.11341301516285449,-0.5746397066908212,0.2329366483300176,
21.09,-0.35072277809731944,-0.6618394263560312,-1.6151174305465674,-0.6024458287421183,-0.5326783031796316,0.16132013798558012,
31.64,-0.17149012435548175,-0.4609718667259718,-1.3466382589168324,-1.550590649579346,-0.5746796471625287,-0.057120460100488796,
205.66,0.97645417390896,0.34461485253072316,-0.4874951606544447,-1.4844890811637481,-0.5746796471625297,-0.057120460100488796,
421.88,1.6534828986976529,1.0319207213215402,0.38627923952420173,-0.4252494074820434,0.2373186914823073,-0.02030677843214171,
279.49,1.242704723861269,1.3237754190036275,0.7799690677454689,0.2505436127223758,0.1433220507966953,-0.6026699210375889,
84.38,0.3481556698129945,1.1881444073773997,0.8883722683019115,0.40726141327548643,-0.24599628203082344,-0.6420878987759073,
15.82,-0.46816180970666554,0.6010674787929808,0.8817701711648823,0.4072614132754858,-0.5746397066908212,-0.7748493844073413,
0.0,-inf,-0.1745679810000233,0.8416739428271024,0.3853147509557422,-0.5746397066908212,-0.8151026998368329,
0.0,-inf,-0.9051516391614984,0.5587981639773888,0.3853147509557422,-0.6169142976166018,-0.8151026998368329,0.5146369957292664
47.46,0.02651795702302022,-0.5041248128711606,-0.11714498663962848,0.4399048894047378,-0.4909459032697074,-0.6949308567447305,0.5299468070127004
5.27,-0.8603297328313899,-0.4609718667259717,-0.9801015796559557,0.3853147509557422,-0.5117985440919072,-0.6949308567447305,0.5299468070126997
0.0,-inf,-0.4609718667259717,-1.5149928427829313,-0.07504420666550934,-0.5117985440919072,-0.6949308567447305,0.4916417931994282
5.27,-0.8603297328313899,-1.03510851537075,-1.6152191078685458,-1.317052153602988,-0.5746796471625287,-0.7082135544753942,0.46090098848070477
5.27,-0.8603297328313899,-1.03510851537075,-1.5634825131352075,-2.7667791899793057,-0.6808695959745394,-0.8016968524571,0.29819834234445763
94.92,0.42099390085356936,-0.1497939059929729,-0.9552926902282524,-2.6851463543925886,-1.1472574248743166,-1.0887174293728972,-0.07449493915081104
321.68,1.3755196896761182,0.6770820626196127,-0.10525519954777965,-1.1607417424610116,-1.6020620569398578,-0.7882621071850414,-0.010185510335254938
305.86,1.3270424598814408,1.1121682899957883,0.45400043843970406,-0.24499642065158653,-1.4789859972490476,-0.7882621071850414,-0.09870374128461328
247.85,1.1347570924182895,1.2895236576611007,0.8076204476725216,0.32979799010656907,-0.7671186485294611,-0.6420878987759073,-0.16352114328276254
105.47,0.4885376822712387,1.0319207213215402,0.9340250983557261,0.45068900376782567,-0.40834814784622603,-0.6289360277785353,-0.04230213997980853
0.0,-inf,0.5506450696403709,0.927568406711991,0.4398843545187662,-0.40834814784622603,-0.6289360277785353,-0.05839470801719596
0.0,-inf,-0.14974769656889228,0.8076334674871553,0.4398843545187662,-0.40834814784622603,-0.6552857318439433,-0.05839470801719596
26.37,-0.2541169610474895,-0.7287511710281942,0.37762698657676885,0.482938588773298,-0.49098533411760975,-0.6289360277785353,-0.066441954998642
26.37,-0.2541169610474895,-0.46089327453367246,-0.16586515618088005,0.5254558650679182,-0.4083092100033269,-0.5895804102691565,-0.15540428971343526
5.27,-0.8603297328313899,-0.4210083936976386,-0.9309603805500616,0.3410053568199719,-0.3878208739577922,-0.5765115023373192,-0.18793784049154855
26.37,-0.2541169610474895,-0.4210083936976386,-1.3854897457603972,-0.3545656254628349,-0.3064192892428661,-0.5634383725227405,-0.2287146619984215
21.09,-0.35072277809731944,-0.4609718667259717,-1.2398288536699442,-1.2375854018801653,-0.2460342799713112,-0.5895804102691565,-0.3933743495188341
379.69,1.541872249022707,0.6862375747090482,0.0087929554646474,-0.7918846908424362,0.7591419436813146,-0.1684203925640313,-0.12296463259205807
274.22,1.2252699479438027,1.0524212613877217,0.4540161836397555,-0.3129774859589081,0.6012202798273759,-0.5243909695050167,-0.3271993766528145
384.96,1.5562046734757293,1.4591635301517913,0.9468906239385647,0.5569920136793827,0.862560264193713,-0.26861196224894857,-0.5436659388129822
152.93,0.7461256733116562,1.218666114420445,1.1192115026262681,0.848087738570287,0.5478056826230533,-0.106411911299039,-0.4599148227175466
26.37,-0.2541169610474895,0.901844478209418,1.1192115026262681,0.848087738570287,0.27457290374250043,-0.08171924973944958,-0.5268583542388073
58.01,0.13274380071706995,0.29198884122670926,1.1602434037118585,0.9054810212879715,0.4759744456537256,0.0528084612459873,-0.4598989998409788
5.27,-0.8603297328313899,-0.22736247622602404,0.7018408800922565,0.9054810212879715,0.49399135022618923,0.06492706848965658,-0.4515634935826635
5.27,-0.8603297328313899,-0.34903152633865503,0.28849096241832345,0.8673066873179979,0.42158025152531753,-0.03256833939181369,-0.4432342665132608
0.0,-inf,-1.0351085153707484,-0.604696481392798,0.8287486761341781,0.3300337840082175,-0.044824041243516966,-0.4515634935826635
10.55,-0.6221698946388876,-0.9051516391614974,-1.2398288536699453,0.07382323290904948,0.3484589885367058,-0.020306778432140456,-0.43489551912885904
5.27,-0.8603297328313899,-0.9051516391614974,-1.3855652541282906,-0.6177550299304508,0.2745376852762136,-0.020306778432140456,-0.4432342665132599
