rainfall,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,spi_48
26.37,-0.28682370323781675,,,,,,
0.0,-inf,,,,,,
42.19,-0.05515598294679458,-0.2017419478434493,,,,,
58.01,0.11895098350098296,-0.043478709813865514,,,,,
116.02,0.5594038525446148,0.3286725087201461,,,,,
232.03,1.1136118233100682,0.7028575068212799,-0.021933923057622085,,,,
237.3,1.1339944970698377,0.9586875680910822,0.4023268956515862,,,,
321.68,1.4280605354104348,1.1961353765192961,0.9064121640242018,,,,
268.95,1.2508540109692432,1.2345086436885513,1.2016485199576588,1.014379736743059,,,
42.19,-0.05515598294679458,1.017667040758596,1.1822253551351531,1.0473056482494432,,,
5.27,-0.920517802625379,0.5457233337695429,1.0415721438148493,1.0582171893981727,,,
0.0,-inf,-0.3426388583000215,0.7147048949647062,0.9700588477170676,0.6492767211643317,,
10.55,-0.6718743735631755,-0.707224126030063,0.3351461312926439,0.8686075237317623,0.571555822661637,,
31.64,-0.2002453373700135,-0.3854473455903667,-0.3137060814930783,0.681766860106697,0.7263973645993963,,
26.37,-0.28682370323781675,-0.2017419478434493,-1.2802255780423635,0.1850900749219794,0.6492767211643317,,
89.65,0.38439911549932354,0.13442796570720067,-1.01604098215518,-0.2179665030877707,0.8029298329900971,,
89.65,0.38439911549932354,0.3019701809323114,-0.6629080940707307,-0.9696928323314749,0.6750334223046958,,
247.85,1.173966621902197,0.7363752225172758,0.025639008465007124,-1.0480313898844427,0.7519568087388955,,
384.96,1.618847925152508,1.1218281218236457,0.7066653102647553,0.03215349079728331,1.4432316951519182,,
411.33,1.6927969049338907,1.4405339813073477,1.2209157035197613,0.9922779533360069,1.841628259438767,,
158.2,0.7907081582592602,1.3585940916119617,1.3758309845855445,1.3122460569631254,1.347239998409621,,
58.01,0.11895098350098296,1.0112489384423364,1.339523205920827,1.4038217876419234,1.4192934374498418,,
15.82,-0.5108739091671264,0.36702113120923324,1.2526821808576847,1.3735059773152094,1.4670703115228894,,
0.0,-inf,-0.17195518549753538,0.9355531304463697,1.322508701367039,1.4670703115228894,1.431823893606698,
0.0,-inf,-0.707224126030063,0.3253296215300784,1.1445553346578836,1.4192934374498418,1.34701536640396,
10.55,-0.6718743735631755,-0.8252224095311974,-0.6821611292159868,0.9811726395038259,1.3231265891620358,1.3810070043175782,
5.27,-0.920517802625379,-0.707224126030063,-1.465276293382481,0.4351267295475464,1.2260177028961534,1.2616880185871056,
10.55,-0.6718743735631755,-0.5467814268847897,-1.9514516479331887,-0.6059299079138009,0.8535985382949655,1.1067838510424384,
42.19,-0.05515598294679458,-0.2671502763586135,-1.6469133433538987,-2.1587344222023983,0.6234043484023043,0.862293853951319,
216.21,1.050626791028338,0.44995156506016926,-0.5359736547197825,-1.8467467679264384,0.4669393688285571,0.8093320832702071,
253.12,1.193538409111261,0.8605371951118669,0.11679702733495677,-1.0086393756354997,-0.21346140492925952,0.862293853951319,
268.95,1.2508540109692432,1.1393539148543568,0.5905454173270479,-0.1876037824789262,-1.0080326544032039,0.6849571783778883,
179.3,0.8913805828931511,1.098086843831253,0.8544565240539889,0.29242743309715047,-0.8858334260765458,0.37800089980976775,
126.56,0.6218269987448647,0.9451818082038846,1.0137892954506103,0.5972128667105657,-0.4998073272687497,0.6670715383907747,
0.0,-inf,0.5253305427207143,0.9571624509955134,0.5727072627928427,-0.5874631664988708,0.6491961352808118,
10.55,-0.6718743735631755,0.0990038720549927,0.6577198061353319,0.5849908478506072,-0.528915232470402,0.6849571783778864,
5.27,-0.920517802625379,-0.7072241260300622,0.22420510373179495,0.5727072627928427,-0.4998073272687497,0.6670715383907747,
15.82,-0.5108739091671264,-0.4859516758100594,-0.3736361742177169,0.510772812100762,-0.47079056683485915,0.6133401214731538,
0.0,-inf,-0.6186816429640362,-1.042307242238486,-0.039587664671935696,-0.4998073272687486,0.523297322630622,
42.19,-0.05515598294679458,-0.26715027635861305,-1.5977925027621531,-0.6753384700799783,-0.32694002501197567,0.35970119650069887,
47.46,0.007429118261745604,-0.09137675829707854,-1.2472214876461885,-1.5219395381411642,-0.2984552047131637,0.21256474929463598,
216.21,1.050626791028338,0.5253305427207143,-0.4045960680145924,-1.3622618934033284,-0.2984552047131637,0.10113761825751419,
369.14,1.5730291003123573,1.0176549173997396,0.41172151869085255,-0.4879763680000113,0.3079538128408072,0.04506845106678481,
263.67,1.2319740556316772,1.2559566428771398,0.8088842525299849,0.25251809724992497,0.2811697010362799,-0.4902502212534815,
116.02,0.5594038525446148,1.1509116244358926,0.9714572862400522,0.510772812100762,-0.04573086380330918,-0.6473482174262364,
36.91,-0.12390900623806934,0.7197486729889205,0.9643145547006194,0.5849676198905254,-0.5289705528016669,-0.7266692671601339,
0.0,-inf,0.15143510277043792,0.8990555465371063,0.5480470206799453,-0.5289705528016669,-0.7864693026864475,
0.0,-inf,-0.432851038303436,0.5733860626385441,0.5480470206799453,-0.5875188388172105,-0.7864693026864475,0.5303288821068743
68.55,0.21669692461756385,-0.20180012303499603,0.001995413482318099,0.609373851413844,-0.24174331120719028,-0.5293621641483606,0.6305942372429498
5.27,-0.920517802625379,-0.17201013249146532,-0.7417694262932077,0.510749136920564,-0.29850917381609465,-0.5489817484959976,0.6430831093176255
0.0,-inf,-0.17201013249146532,-1.3145310841377045,-0.039615148344355866,-0.29850917381609465,-0.5685943200645716,0.5428622672701832
0.0,-inf,-1.0118130857133292,-1.5978830481090942,-1.2536436470677197,-0.5290258734638164,-0.6079476603118052,0.40416087792712485
