year,month,rainfall
2008,1,21.09
2008,2,31.64
2008,3,31.64
2008,4,21.09
2008,5,52.73
2008,6,321.68
2008,7,358.59
2008,8,395.51
2008,9,390.23
2008,10,26.37
2008,11,0
2008,12,0
2009,1,0
2009,2,0
2009,3,0
2009,4,5.27
2009,5,52.73
2009,6,84.38
2009,7,537.89
2009,8,284.77
2009,9,126.56
2009,10,100.2
2009,11,26.37
2009,12,0
2010,1,5.27
2010,2,0
2010,3,0
2010,4,5.27
2010,5,79.1
2010,6,232.03
2010,7,342.77
2010,8,295.31
2010,9,221.48
2010,10,94.92
2010,11,26.37
2010,12,47.46
2011,1,0
2011,2,21.09
2011,3,0
2011,4,58.01
2011,5,79.1
2011,6,163.48
2011,7,332.23
2011,8,353.32
2011,9,369.14
2011,10,5.27
2011,11,0
2011,12,10.55
2012,1,31.64
2012,2,0
2012,3,0
2012,4,47.46
2012,5,21.09
2012,6,237.3
2012,7,500.98
2012,8,458.79
2012,9,232.03
2012,10,42.19
2012,11,79.1
2012,12,0
2013,1,0
2013,2,10.55
2013,3,0
2013,4,63.28
2013,5,21.09
2013,6,247.85
2013,7,342.77
2013,8,263.67
2013,9,210.94
2013,10,311.13
2013,11,0
2013,12,0
2014,1,0
2014,2,21.09
2014,3,21.09
2014,4,10.55
2014,5,79.1
2014,6,116.02
2014,7,474.61
2014,8,305.86
2014,9,284.77
2014,10,73.83
2014,11,0
2014,12,10.55
2015,1,15.82
2015,2,0
2015,3,10.55
2015,4,42.19
2015,5,21.09
2015,6,242.58
2015,7,342.77
2015,8,379.69
2015,9,258.4
2015,10,15.82
2015,11,10.55
2015,12,10.55
2016,1,0
2016,2,5.27
2016,3,5.27
2016,4,10.55
2016,5,26.37
2016,6,116.02
2016,7,258.4
2016,8,311.13
2016,9,242.58
2016,10,137.11
2016,11,5.27
2016,12,0
2017,1,5.27
2017,2,0
2017,3,26.37
2017,4,5.27
2017,5,10.55
2017,6,179.3
2017,7,432.42
2017,8,279.49
2017,9,184.57
2017,10,105.47
2017,11,5.27
2017,12,0
2018,1,0
2018,2,0
2018,3,0
2018,4,36.91
2018,5,42.19
2018,6,121.29
2018,7,353.32
2018,8,363.87
2018,9,174.02
2018,10,47.46
2018,11,0
2018,12,73.83
2019,1,0
2019,2,15.82
2019,3,15.82
2019,4,10.55
2019,5,58.01
2019,6,84.38
2019,7,358.59
2019,8,448.24
2019,9,305.86
2019,10,100.2
2019,11,0
2019,12,0
2020,1,5.27
2020,2,63.28
2020,3,42.19
2020,4,31.64
2020,5,31.64
2020,6,374.41
2020,7,163.48
2020,8,406.05
2020,9,121.29
2020,10,116.02
2020,11,0
2020,12,0
2021,1,0
2021,2,0
2021,3,0
2021,4,8.46
2021,5,72.4
2021,6,152.19
2021,7,324.97
2021,8,168.16
2021,9,267.9
2021,10,30.31
2021,11,47.71
2021,12,41.28
