Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
-8.000000000000000167e-02,5.119374435557520059e-03,1.988092551338934422e-01,3.092915818529367589e-01,-4.601970013234797374e-01,-8.315316145821914640e-02,-9.885642030949970405e-02,1.070558521097195598e-01,1.468459914824969681e-02
3.900000000000000133e-01,2.479672294680297998e-03,-3.492339375865879947e-01,3.182823714093439005e-01,-1.110164183770968371e+00,-2.139458919847174179e-01,-2.029488741803608942e-01,7.474591686154138936e-02,4.697987641533556136e-03
8.599999999999999867e-01,-2.800497669750512744e-03,-1.070624306069483389e-01,3.614418315789243996e-01,-1.302419032739531080e+00,-2.157155564280258675e-01,-2.585663336383232647e-01,6.529968501928366809e-02,1.725410425635863498e-03
1.090000000000000080e+00,-1.009551159534241745e-02,8.196152422706626250e-02,1.073561474821563277e-01,-1.094990603525935136e+00,-8.157688938125856604e-02,-2.571427790125445090e-01,7.898353469565679019e-02,6.611773152786652730e-03
1.080000000000000071e+00,-1.784060387493388231e-02,1.039230484541325827e-01,-3.481209150035952105e-01,-6.353521877416787866e-01,1.171296297845962897e-01,-2.104574574384664443e-01,1.115922531339036683e-01,1.765135638331636822e-02
9.399999999999999467e-01,-2.345438179516404903e-02,6.635734985006058739e-02,-3.731204833729375725e-01,-7.518676974203365726e-02,3.435215079554660433e-01,-1.428337977665158909e-01,1.500708495412293730e-01,3.019081225026847004e-02
6.899999999999999467e-01,-2.538813076504714550e-02,4.946152422706628915e-02,-5.091624274634803937e-02,3.424493049167116610e-01,4.743666568535804817e-01,-7.069398910434843142e-02,1.798377173181790190e-01,4.065083111853530495e-02
2.600000000000000089e-01,-2.310396448511276013e-02,7.153684177437175107e-02,1.691782201633553195e-01,4.774085380983883464e-01,5.531517434927573085e-01,-1.135484595602115343e-02,1.964289038556616962e-01,4.944697658986300925e-02
-3.900000000000000133e-01,-1.775745887615149537e-02,9.160254037844389741e-02,2.466076889566493069e-01,4.110305389437159951e-01,5.592418745918588119e-01,2.363806342843056615e-02,2.015430128327767301e-01,5.555668072221264103e-02
-1.350000000000000089e+00,-1.199284191909674377e-02,1.259983660014381834e-01,2.594053751731759117e-01,2.179351058473664726e-01,4.801978075357203890e-01,2.993709035469725374e-02,1.895190232256306895e-01,5.448207348273863271e-02
