sl.no.,rainfall,spi_6
306,26.37,0.93
307,0.00,0.82
308,0.00,0.25
309,21.09,-0.41
310,0.00,-1.73
311,0.00,-1.73
312,21.09,-1.80
313,537.89,0.19
314,274.22,0.64
315,300.59,1.00
316,184.57,1.21
317,26.37,1.23
318,10.55,1.22
319,0.00,0.55
320,10.55,0.10
321,15.82,-0.60
322,42.19,-1.24
323,10.55,-1.35
324,5.27,-1.39
325,221.48,-0.43
326,232.03,0.09
327,258.40,0.51
328,337.50,0.91
329,5.27,0.91
330,0.00,0.90
331,0.00,0.61
332,0.00,0.23
333,0.00,-0.32
334,10.55,-2.30
335,5.27,-2.30
336,26.37,-1.80
337,73.83,-1.18
338,553.71,0.35
339,279.49,0.77
340,84.38,0.86
341,42.19,0.91
342,36.91,0.92
343,10.55,0.84
344,15.82,-0.02
345,0.00,-0.82
346,5.27,-1.21
347,21.09,-1.35
348,26.37,-1.43
349,179.30,-0.60
350,448.24,0.37
351,268.95,0.77
352,284.77,1.11
353,68.55,1.16
354,31.64,1.17
355,52.73,1.02
356,0.00,0.41
357,10.55,-0.07
358,0.00,-0.93
359,94.92,-0.82
360,42.19,-0.78
361,158.20,-0.43
362,348.05,0.32
363,400.78,0.89
364,337.50,1.27
365,5.27,1.18
366,0.00,1.13
367,21.09,0.97
368,26.37,0.54
369,0.00,-0.20
370,0.00,-1.67
371,36.91,-1.39
372,15.82,-1.27
373,237.30,-0.40
374,564.26,0.64
375,500.98,1.25
376,258.40,1.50
377,21.09,1.49
378,26.37,1.50
379,0.00,1.26
380,0.00,0.57
381,5.27,-0.41
382,0.00,-1.67
383,47.46,-1.43
384,0.00,-1.67
385,358.59,-0.15
386,474.61,0.68
387,332.23,1.09
388,168.75,1.27
389,163.48,1.39
390,352.27,1.72
391,388.13,1.75
392,0.00,1.30
393,31.64,0.96
394,10.55,0.76
395,36.91,0.59
396,15.82,0.00
397,105.47,-0.78
398,490.43,0.39
399,258.40,0.72
400,305.86,1.09
401,68.55,1.13
402,0.00,1.11
403,0.00,0.99
404,5.27,0.30
405,0.00,-0.23
406,26.37,-1.27
407,31.64,-1.56
408,21.09,-1.39
409,337.50,-0.13
410,210.94,0.28
411,311.13,0.75
412,284.77,1.07
413,0.00,1.03
414,0.00,1.01
415,10.55,0.58
416,0.00,0.24
417,0.00,-0.46
418,15.82,-2.05
419,5.27,-1.95
420,15.82,-1.73
421,189.84,-0.68
422,379.69,0.24
423,268.95,0.67
424,342.77,1.08
425,94.92,1.18
426,0.00,1.16
427,0.00,0.94
428,0.00,0.41
429,0.00,-0.09
430,21.09,-1.18
431,0.00,-2.16
432,5.27,-2.05
433,189.84,-0.72
434,437.70,0.32
435,284.77,0.75
436,210.94,0.99
437,84.38,1.09
438,0.00,1.08
439,0.00,0.86
440,0.00,0.19
441,10.55,-0.43
442,5.27,-1.27
443,36.91,-1.67
444,21.09,-1.47
445,110.74,-0.84
446,332.23,0.07
447,458.79,0.79
448,121.29,0.93
449,15.82,0.91
450,0.00,0.88
451,58.01,0.81
452,10.55,0.34
453,10.55,-0.72
454,10.55,-1.24
455,10.55,-1.27
456,21.09,-1.14
457,110.74,-0.88
458,437.70,0.23
459,485.16,0.93
460,427.15,1.39
461,89.65,1.46
462,0.00,1.44
463,0.00,1.33
464,10.55,0.85
465,68.55,0.22
466,42.19,-0.74
467,26.37,-1.01
468,84.38,-0.66
469,321.68,0.14
470,263.67,0.57
471,448.24,1.06
472,174.02,1.21
473,63.28,1.25
474,5.27,1.16
475,0.00,0.77
476,0.00,0.39
477,5.27,-0.60
478,0.00,-1.47
479,10.48,-2.16
480,107.50,-1.13
481,219.07,-0.32
482,423.36,0.50
483,200.22,0.78
484,330.78,1.18
485,21.12,1.19
486,35.56,1.11
487,68.99,0.93
