sl.no.,rainfall,spi_6
306,42.19,1.12
307,0.00,0.98
308,0.00,0.40
309,21.09,-0.37
310,0.00,-1.60
311,10.55,-1.60
312,26.37,-1.76
313,342.77,-0.20
314,210.94,0.27
315,284.77,0.71
316,237.30,1.05
317,68.55,1.12
318,21.09,1.12
319,0.00,0.63
320,15.82,0.30
321,26.37,-0.28
322,58.01,-0.89
323,21.09,-1.13
324,21.09,-1.13
325,253.12,-0.21
326,305.86,0.40
327,268.95,0.79
328,305.86,1.13
329,15.82,1.12
330,0.00,1.10
331,0.00,0.75
332,0.00,0.22
333,0.00,-0.42
334,10.55,-2.22
335,5.27,-2.49
336,63.28,-1.55
337,84.38,-1.02
338,479.88,0.33
339,247.85,0.74
340,100.20,0.87
341,52.73,0.94
342,31.64,0.89
343,5.27,0.78
344,10.55,-0.08
345,0.00,-0.85
346,5.27,-1.35
347,21.09,-1.60
348,58.01,-1.39
349,232.03,-0.40
350,379.69,0.42
351,321.68,0.92
352,247.85,1.23
353,126.56,1.36
354,52.73,1.35
355,58.01,1.14
356,0.00,0.61
357,15.82,0.04
358,0.00,-0.64
359,63.28,-0.89
360,89.65,-0.74
361,116.02,-0.54
362,311.13,0.23
363,337.50,0.78
364,290.04,1.17
365,0.00,1.09
366,0.00,0.97
367,15.82,0.83
368,15.82,0.35
369,0.00,-0.42
370,0.00,-2.12
371,52.73,-1.51
372,47.46,-1.18
373,189.84,-0.47
374,495.70,0.57
375,411.33,1.16
376,258.40,1.46
377,31.64,1.44
378,68.55,1.46
379,0.00,1.24
380,0.00,0.55
381,5.27,-0.30
382,0.00,-1.35
383,58.01,-1.18
384,15.82,-1.55
385,295.31,-0.27
386,316.41,0.41
387,237.30,0.79
388,168.75,1.02
389,242.58,1.25
390,10.55,1.25
391,0.00,0.86
392,0.00,0.35
393,15.82,-0.11
394,15.82,-0.54
395,26.37,-1.65
396,52.73,-1.31
397,110.74,-0.76
398,448.24,0.37
399,268.95,0.79
400,305.86,1.18
401,84.38,1.25
402,0.00,1.18
403,0.00,1.04
404,5.27,0.36
405,0.00,-0.21
406,21.09,-1.31
407,42.19,-1.65
408,26.37,-1.43
409,348.05,-0.10
410,195.12,0.31
411,337.50,0.85
412,311.13,1.23
413,10.55,1.20
414,10.55,1.18
415,5.27,0.71
416,0.00,0.38
417,0.00,-0.37
418,15.82,-1.95
419,10.55,-1.95
420,31.64,-1.70
421,174.02,-0.72
422,311.13,0.13
423,258.40,0.60
424,290.04,1.00
425,121.29,1.14
426,0.00,1.10
427,0.00,0.87
428,0.00,0.37
429,0.00,-0.17
430,21.09,-1.13
431,5.27,-2.22
432,26.37,-1.82
433,168.75,-0.76
434,474.61,0.42
435,279.49,0.86
436,158.20,1.05
437,121.29,1.20
438,5.27,1.17
439,0.00,0.95
440,0.00,0.17
441,0.00,-0.54
442,5.27,-1.18
443,42.19,-1.82
444,21.09,-1.65
445,73.83,-1.13
446,311.13,-0.07
447,495.70,0.82
448,179.30,1.06
449,47.46,1.07
450,0.00,1.04
451,68.55,1.03
452,5.27,0.59
453,15.82,-0.44
454,10.55,-1.10
455,15.82,-1.28
456,36.91,-1.07
457,79.10,-1.02
458,432.42,0.22
459,469.34,0.96
460,284.77,1.30
461,89.65,1.39
462,0.00,1.35
463,0.00,1.25
464,10.55,0.68
465,52.73,-0.11
466,47.46,-0.85
467,26.37,-1.15
468,36.91,-0.97
469,316.41,0.01
470,189.84,0.37
471,326.95,0.82
472,168.75,0.99
473,121.29,1.11
474,5.27,1.07
475,0.00,0.62
476,0.00,0.29
477,5.27,-0.49
478,0.00,-1.18
479,14.26,-2.25
480,78.12,-1.41
481,133.57,-0.72
482,284.63,0.07
483,182.91,0.42
484,276.47,0.85
485,23.14,0.87
486,41.33,0.81
487,25.18,0.65
