Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-2.000000000000000042e-02,-5.214744683264580655e-02,7.860185863577914822e-02,1.142959753976655612e-01,-1.201964583283882115e+00,-1.003113568200257461e-01,-1.272215670749949068e-01,1.109945805864079316e-01
4.000000000000000222e-01,-4.595833162152394846e-02,-2.579558286612220752e-01,5.639092280572943761e-01,-1.093920711124285017e+00,-2.766919208197521352e-01,-1.240578538564036382e-01,1.089278470635653140e-01
9.100000000000000311e-01,-4.078494759346250331e-02,1.531958963870931612e-01,5.758610040107494665e-01,-6.871357312631358738e-01,-3.977354152477321492e-01,-9.646104281015768778e-02,1.097744261473017485e-01
1.199999999999999956e+00,-3.707781730470684212e-02,1.634848603047066584e-01,3.362815290420947401e-01,-1.489840113944089495e-01,-4.361449793615116421e-01,-5.570060229654090478e-02,1.143703003941720781e-01
1.179999999999999938e+00,-3.508416367125101465e-02,-1.334573445661091373e-02,5.850227223708809321e-02,3.653433864376249840e-01,-3.772298092370595657e-01,-1.476824427933212669e-02,1.232967032509209027e-01
1.040000000000000036e+00,-3.464632292766932353e-02,-9.500466112556948950e-02,-7.666875619894836236e-02,7.858884376257047055e-01,-2.288027659675307968e-01,1.962855330108591312e-02,1.363235134359679912e-01
7.099999999999999645e-01,-3.521141173973262734e-02,-1.544325669134383183e-02,-1.924252571358505137e-01,1.036706949655156418e+00,-2.720692140237288004e-02,4.127104378376318661e-02,1.511377532513377697e-01
3.400000000000000244e-01,-3.571272085577044397e-02,-1.439532446218505513e-02,-4.436810922638447230e-01,1.048110780877838932e+00,1.700911307239702519e-01,4.557663203667183804e-02,1.640344353957663981e-01
-3.099999999999999978e-01,-3.502873053906870732e-02,4.312271287229807459e-02,-4.600026235557395649e-01,7.912486684485129373e-01,2.997662904195685929e-01,2.972663684416376739e-02,1.710334383667446168e-01
-1.280000000000000027e+00,-3.263743488930447023e-02,1.465055382175622922e-02,-4.247090977182360616e-02,2.569835662004416044e-01,3.215987743828212508e-01,-5.149286140387870914e-03,1.705708273953174814e-01
-1.020000000000000018e+00,-2.859565109090451973e-02,-2.691310399519349916e-01,3.465503434503848235e-01,-4.341109653806087265e-01,2.473322504917790376e-01,-4.917739876955935785e-02,1.641442112544364007e-01
-6.600000000000000311e-01,-2.358039023915901866e-02,1.965008429637927767e-01,3.808330137954241690e-01,-1.023790392728439969e+00,1.109240692730774636e-01,-8.567927364026953208e-02,1.547746861020163345e-01
2.999999999999999889e-02,-1.839818994857254919e-02,8.396509720200950877e-02,1.787355905979964299e-01,-1.303692207189870000e+00,-4.498671546419523437e-02,-9.885998316622618409e-02,1.455693728321407476e-01
7.099999999999999645e-01,-1.372365365653040355e-02,2.484217068574787884e-02,-1.548633378972819052e-03,-1.160467018819901774e+00,-1.796132470305624729e-01,-8.220874576340927997e-02,1.382287505632161517e-01
1.219999999999999973e+00,-1.003079280568125974e-02,1.669576648525572526e-03,-1.686606788475580876e-02,-6.307354979918685656e-01,-2.680628914784712880e-01,-4.100169773889184716e-02,1.341431064338824142e-01
1.379999999999999893e+00,-7.627456950198546054e-03,-2.898544062493790818e-03,-1.083268777909888736e-01,5.272752391692198115e-02,-2.942229234000333649e-01,1.108779978943468664e-02,1.343208381777780958e-01
1.340000000000000080e+00,-6.775920358852953809e-03,-5.614423395349610324e-02,-3.955708500275203487e-01,6.273408798956818799e-01,-2.415894034403440194e-01,6.036131991316633083e-02,1.395398323822120978e-01
