Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-1.000000000000000056e-01,3.714429532571747461e-01,3.525630380136796638e-01,2.595776878702624746e-01,-8.772918522074397707e-01,-8.469963364634941483e-02,2.117370115912703410e-02,6.234338946837120199e-02
-8.599999999999999867e-01,3.718043369007357213e-01,-6.096608162734605540e-02,4.626070785529690088e-01,-3.436600099117354534e-01,-3.380463438765302087e-02,4.327293084078392971e-02,7.338536166451126164e-02
-2.500000000000000000e-01,3.717293906736190978e-01,-4.170969733945675828e-01,3.749715220829613616e-01,2.587018002425489072e-01,8.292033358928807552e-03,7.207635536490286654e-02,8.641600934610332851e-02
-2.500000000000000000e-01,3.713194814308807823e-01,3.254306087529802438e-01,1.399863019553798660e-01,6.505964155496385404e-01,1.611877290998309231e-02,9.190709673679084424e-02,1.007472774230303292e-01
5.500000000000000444e-01,3.706085020226491111e-01,-9.021842315526297507e-02,-4.329054888984060767e-01,7.276864288704143480e-01,2.038122429701516580e-02,9.678619827839490819e-02,1.146321407583295870e-01
1.439999999999999947e+00,3.694604540436253193e-01,3.953590725788147520e-02,-7.308277948331417528e-01,5.412264051297329681e-01,4.211274457812475003e-02,9.892850395004834652e-02,1.294539864727147771e-01
1.239999999999999991e+00,3.679453856798214906e-01,2.342579008914397187e-01,-1.734938783366389292e-01,2.772528577856215315e-01,4.967358141881300648e-02,9.523049294018703925e-02,1.463569397766050217e-01
1.500000000000000000e+00,3.670322509178622905e-01,-2.886029949873709644e-01,2.779817774090267424e-01,-3.775822472616374714e-02,7.476174711889521651e-03,8.954923764017236332e-02,1.618019371961282871e-01
1.280000000000000027e+00,3.673209886334895535e-01,4.758177677652764004e-02,9.123340285107578440e-02,-3.145400743671888932e-01,-9.103863151002432319e-02,7.535343405810562833e-02,1.733747168383079629e-01
-2.500000000000000000e-01,3.685162074389728981e-01,2.041700331502886989e-01,-1.069913252752369981e-01,-5.066099449689286383e-01,-2.535769605742301813e-01,4.782633640813821474e-02,1.818256505943742218e-01
-6.199999999999999956e-01,3.701690767607535570e-01,-4.415754463632483029e-01,-1.227915281399504510e-01,-6.816169979306022642e-01,-4.243189717584570086e-01,1.658776936119266132e-02,1.870606766629611672e-01
5.200000000000000178e-01,3.712371429001068424e-01,-1.240865954979586960e-01,4.994527749972073327e-02,-6.422291328371494412e-01,-5.170319975724090300e-01,-1.206319161534546991e-02,1.926224446548187585e-01
-1.700000000000000122e-01,3.710998134201405896e-01,7.344420459341363117e-01,3.246826774971103835e-01,-3.163255131015695332e-01,-5.171245033103839539e-01,-2.716025067915833757e-02,2.009168036187869155e-01
3.499999999999999778e-01,3.703291702490312809e-01,-4.119683613086072560e-01,3.211546929332811939e-01,1.175976086948564425e-01,-4.644963390759791477e-01,-2.314731802645264569e-02,2.088705981961621050e-01
-2.500000000000000000e-01,3.694567169129988060e-01,1.547366274503154115e-01,2.971443123396267927e-01,5.835719074932708139e-01,-3.514101008752333333e-01,-9.031929765384527631e-03,2.149054988015740020e-01
8.000000000000000167e-02,3.686778257422980154e-01,-2.406994111402869230e-01,2.538461281171917605e-01,8.859421183720792570e-01,-1.940061902254117121e-01,-3.894030694837513629e-03,2.168958953522824307e-01
6.099999999999999867e-01,3.680068713236857580e-01,5.081378963285154010e-02,-3.862812789703676808e-01,8.252767255080000197e-01,-2.098773370237588809e-02,-6.250963134028064694e-03,2.146746628050109074e-01
9.799999999999999822e-01,3.671974422602154453e-01,1.530900352706904832e-01,-8.793169774064777400e-01,5.694959454493510043e-01,2.019736939132430742e-01,-1.095061331775853963e-02,2.109153304389430328e-01
1.610000000000000098e+00,3.661339790155663798e-01,-6.598675687399596645e-02,-3.859584472174947267e-01,2.434944322099835690e-01,4.286623814579114677e-01,-2.122830479599946418e-02,2.058439117728626533e-01
1.889999999999999902e+00,3.655708660571015400e-01,5.494262343880984556e-02,2.731578224611488914e-01,-1.613457499820578067e-01,5.696692606002333736e-01,-2.783793248804594667e-02,1.994641753465078160e-01
4.600000000000000200e-01,3.659856190190034497e-01,2.284056032334558228e-01,3.996847599804882467e-01,-4.816366341330732825e-01,6.197827045948879343e-01,-4.173855826237438116e-02,1.896259293320934902e-01
2.300000000000000100e-01,3.672243466371430398e-01,-5.370121932387508235e-01,1.803403358409778889e-01,-7.096145022594511076e-01,6.041731354251284047e-01,-7.339074833930325781e-02,1.753005285134451863e-01
-4.699999999999999734e-01,3.687280165208683957e-01,1.697353103027364751e-01,-8.693968493388887220e-02,-8.794195446389758697e-01,5.151320353630778337e-01,-1.102834880203208412e-01,1.597017613170168548e-01
5.899999999999999689e-01,3.694368215012797108e-01,-1.876769274793744779e-01,-1.681456156783076028e-01,-7.585135064311341324e-01,4.154278024853444440e-01,-1.427447155580404692e-01,1.464290452950927635e-01
5.899999999999999689e-01,3.688907698420165193e-01,4.645079079568050773e-01,-4.562480491270115568e-02,-3.432894278091619400e-01,3.567127440873696376e-01,-1.516672364628224301e-01,1.387547547911487100e-01
-8.599999999999999867e-01,3.675754585042116385e-01,1.688651943302118263e-01,2.879027485923291718e-01,1.653088517538001123e-01,2.880990610867799617e-01,-1.365453658232849143e-01,1.363408519174352795e-01
1.100000000000000006e-01,3.661527156223066681e-01,-8.095013624953284470e-01,5.770441152324552458e-01,6.935644951519852608e-01,2.142163599003785168e-01,-1.099247417325432408e-01,1.357459037356112952e-01
-6.199999999999999956e-01,3.645488955902876915e-01,5.875573658258336218e-01,2.401568510304092907e-01,9.505503925473204330e-01,1.607360320805614196e-01,-8.064488155808124947e-02,1.344588604729922421e-01
-2.999999999999999889e-02,3.628902137261069694e-01,-2.404586010875038871e-01,-5.517041971307112824e-01,7.860641634657085097e-01,9.216244183204003182e-02,-5.771584325761452972e-02,1.321960291444984337e-01
9.799999999999999822e-01,3.610089054648710771e-01,-1.147034221008811326e-02,-8.249662184059669556e-01,4.620072934582849511e-01,2.177813358588198689e-02,-4.117295938759735208e-02,1.290207288092972970e-01
9.799999999999999822e-01,3.585130756085719295e-01,3.390241416896158100e-01,-1.667703702060793769e-01,4.619860725216468067e-02,-2.183919812363888102e-02,-2.585100609074153510e-02,1.255532042634044665e-01
1.330000000000000071e+00,3.566317084247387914e-01,-2.219032603567518414e-01,4.581813218460456527e-01,-3.116918226011120008e-01,-9.504063440911114657e-02,-4.895990727003196596e-03,1.199412249807463859e-01
9.100000000000000311e-01,3.559666057395346472e-01,5.386655687196828524e-02,2.927605749146837688e-01,-4.672839873815713974e-01,-2.174155183342116326e-01,4.780551705963698161e-03,1.075407106146051839e-01
4.600000000000000200e-01,3.559469865827195045e-01,-8.511324345202636588e-02,-3.495279787828740881e-02,-5.990757914441214860e-01,-3.503770912613560218e-01,8.854835546286410342e-04,8.983628832880058424e-02
1.030000000000000027e+00,3.562620697397241853e-01,-2.112156863726242506e-01,-1.960947630244367912e-01,-6.302020372259264924e-01,-4.690046340262433167e-01,-6.446621816670161653e-03,7.015206682730606991e-02
-6.199999999999999956e-01,3.560313240518034328e-01,5.731307310821539547e-01,-2.553978513689986185e-01,-5.102285760602933706e-01,-5.300074654838469179e-01,-1.146143467694432649e-02,5.090675082064705093e-02
-4.699999999999999734e-01,3.546443083499882798e-01,-5.861894816461085123e-01,6.657278977346840765e-02,-2.555088296276921134e-01,-4.895261649422250061e-01,1.137535991636140498e-02,3.601031744137955792e-02
-6.199999999999999956e-01,3.526156671158843792e-01,1.620412697210110164e-01,4.424539693857909017e-01,1.860984606777313921e-01,-3.908590866975524825e-01,6.370305702490286492e-02,2.440445354192294358e-02
-5.699999999999999512e-01,3.505784326489254643e-01,1.165235498493205624e-01,3.799414504168195927e-01,5.548829135375603627e-01,-2.755439489931306718e-01,1.301827371446939718e-01,1.267172887372264301e-02
-3.499999999999999778e-01,3.483369239342223311e-01,-2.227149040216336306e-02,9.662758631207690740e-03,7.402652272960977831e-01,-1.416244158684880627e-01,1.977749261108708856e-01,-6.404663232262297612e-05
-1.700000000000000122e-01,3.458969455843801111e-01,1.424648920040860745e-02,-1.912265452522333709e-01,6.661507720208429406e-01,-1.911508504136527620e-02,2.477736168416807550e-01,-1.390227081703432344e-02
9.799999999999999822e-01,3.432326997106393551e-01,-1.637093945265657713e-01,-6.748116813776450229e-02,3.407481525412993095e-01,9.177531394488006034e-02,2.810890878423079609e-01,-2.871739756596913828e-02
1.649999999999999911e+00,3.399917259312086881e-01,2.360069306918089471e-01,-1.414243107103405617e-01,7.903933848308480892e-02,1.822331956264008346e-01,3.012952361996345529e-01,-4.355622488884813848e-02
1.239999999999999991e+00,3.374433167910803610e-01,1.574365579479882760e-01,-3.698905995898137955e-01,-1.586546662794342255e-01,2.045635529520015705e-01,3.061225026935155968e-01,-6.061395917293926905e-02
3.499999999999999778e-01,3.361475320494310415e-01,-1.979026022727934375e-01,-2.028941685630961111e-01,-3.216672459066684531e-01,1.516327861344887451e-01,2.937521382366546363e-01,-8.193656521521341940e-02
-4.699999999999999734e-01,3.356359639943202744e-01,-1.940236280071733765e-01,8.473189892100024823e-02,-3.930880407670918619e-01,6.123159170828844367e-02,2.628430098398841785e-01,-1.049806317118807397e-01
5.999999999999999778e-01,3.357134051295179722e-01,-2.698188823856005336e-01,6.310434152240573802e-02,-5.705294056069798447e-01,-4.208671981091503811e-02,2.158409691384861606e-01,-1.277792944759144345e-01
6.300000000000000044e-01,3.350934835894534558e-01,5.818620588164409302e-01,-7.699220207804763350e-02,-6.014442718831432000e-01,-1.131655510654057117e-01,1.635897248465060794e-01,-1.452535327708668333e-01
