Original Signal,Approximation,D 1,D 2,D 3,D 4
1.400000000000000133e-01,-2.066111933335401385e-01,-1.817236803147160018e-01,1.491726886418711928e-01,-7.000615319799888825e-01,-1.427970238232470768e-01
5.500000000000000444e-01,-1.643156361016025746e-01,-4.206817358960424080e-02,-9.066608677958223894e-02,-1.153225256560652667e+00,-5.422472285076520432e-02
1.020000000000000018e+00,-1.155782032914096785e-01,-5.489803133945385383e-02,-2.664819564913019634e-01,-1.334935945652143241e+00,3.092784919028436150e-02
1.310000000000000053e+00,-6.369109334556689872e-02,1.240284186651957471e-01,-1.559204453444137661e-01,-1.195004706763620250e+00,8.781581386258453803e-02
1.310000000000000053e+00,-1.235597920219127545e-02,-4.158219149578457757e-02,3.865466401392872453e-02,-7.302123779941748216e-01,9.949359186995912485e-02
1.199999999999999956e+00,3.510871354714090870e-02,4.103620834368285064e-02,3.983263860143882590e-02,-3.336712364920847024e-02,6.353313538886364020e-02
7.900000000000000355e-01,7.618243086201449688e-02,-1.804307057854751331e-02,-1.491795721001041575e-01,7.246359996696879469e-01,-8.089982872392421226e-03
4.400000000000000022e-01,1.092854400653196500e-01,-2.058235789329948273e-01,-2.632636889839294891e-01,1.318002812689756498e+00,-9.053661737733112447e-02
-8.000000000000000167e-02,1.337367520086195083e-01,2.870333602102383419e-01,-5.566328475565652384e-02,1.543338191841628904e+00,-1.558661080344670158e-01
-8.599999999999999867e-01,1.499222088484575000e-01,-3.399909656228355948e-02,3.360862300749032361e-01,1.335108592341393674e+00,-1.848929734656104551e-01
-7.600000000000000089e-01,1.594067629230351557e-01,-9.492154836013816377e-02,4.660275657715233222e-01,7.676185829593041854e-01,-1.688685896822312849e-01
-3.800000000000000044e-01,1.645462772446073252e-01,-2.016725881984479316e-02,1.837521216817239456e-01,2.392557303283173939e-02,-1.080454465620577925e-01
8.999999999999999667e-02,1.676787818425916066e-01,5.264124341791433237e-02,-1.624049584496758125e-01,-6.836009260426497702e-01,-1.253735545435775804e-02
6.999999999999999556e-01,1.702725726501408965e-01,-1.907736098671038508e-02,-2.521297354258920653e-01,-1.205955131736801134e+00,1.000196910842074405e-01
1.229999999999999982e+00,1.724244844909868513e-01,6.618369411122575208e-02,-1.306806328258106054e-01,-1.448893631238378221e+00,2.068354177605755961e-01
1.310000000000000053e+00,1.730850271926887007e-01,-5.185960648008589718e-02,1.820251631100463369e-02,-1.365618499820219656e+00,2.809816625349186858e-01
1.320000000000000062e+00,1.708353466994577963e-01,-1.193374463653798095e-01,8.380462927309556553e-02,-9.552745383046752359e-01,3.004640969364459901e-01
1.209999999999999964e+00,1.644962810638363471e-01,1.786496298068324384e-01,8.719771785241953350e-04,-2.696611184133021477e-01,2.597921152981371717e-01
9.699999999999999734e-01,1.534910313276486582e-01,-2.339317865650012221e-02,-2.309367916839187851e-01,5.385490330494074884e-01,1.710370217762069434e-01
4.099999999999999756e-01,1.380087630785649389e-01,-7.256192564603708428e-02,-3.841280586224204430e-01,1.235568297133036841e+00,5.862323671221636445e-02
-8.199999999999999512e-01,1.190097778922475508e-01,4.095773474961353355e-02,-1.100234980136117063e-01,1.592023705698470071e+00,-4.887527021439019848e-02
-1.350000000000000089e+00,9.834657433411145289e-02,2.608402805527547386e-02,4.749554667312578249e-01,1.474924854407544172e+00,-1.288803902679046265e-01
-1.949999999999999956e+00,7.873078520550999548e-02,-8.032813024148821590e-02,6.951986756731625139e-01,9.246105356444231926e-01,-1.682038024551104904e-01
-1.620000000000000107e+00,6.323979278933027082e-02,2.707209141049561271e-02,2.629267900366013544e-01,1.355637123391610077e-01,-1.612553568158719697e-01
-5.500000000000000444e-01,5.443960612053089926e-02,3.173833827965459597e-02,-2.726257511531938738e-01,-6.449648747050633624e-01,-1.106396319861857463e-01
-2.000000000000000042e-02,5.346951279993107653e-02,4.128176701017623879e-02,-4.001473349947210489e-01,-1.203641426052137309e+00,-2.929621844110539067e-02
5.100000000000000089e-01,5.960105599670968701e-02,-2.930264049083220954e-02,-2.378175227662705782e-01,-1.420209777640505600e+00,6.064906677479235675e-02
7.800000000000000266e-01,7.058365836690191908e-02,-1.282627608196883762e-01,-1.106051551414218570e-01,-1.276045882203634907e+00,1.330741362849717779e-01
8.900000000000000133e-01,8.349281781654616097e-02,1.697540138804045640e-01,-1.277335702433596010e-01,-8.173141814233698677e-01,1.664988905440862310e-01
8.399999999999999689e-01,9.550293306236110058e-02,-1.512763256111563648e-01,-1.017277499936270202e-01,-1.513528277166747704e-01,1.525155351306691776e-01
5.699999999999999512e-01,1.044046955124417753e-01,1.044647051799268561e-01,1.835742987835207451e-01,5.582258643981686808e-01,9.744203499393976065e-02
2.700000000000000178e-01,1.087876302696591663e-01,1.080463452075371422e-01,4.762165259648002413e-01,1.125243049568248388e+00,1.863261743964662528e-02
-3.699999999999999956e-01,1.082025585741484414e-01,-1.945168423595530771e-01,3.460142719672117950e-01,1.379084513924877742e+00,-6.282681253448804681e-02
-1.060000000000000053e+00,1.034756532288453323e-01,4.295707100355446867e-02,-5.648556182664327130e-02,1.238673432515126738e+00,-1.289582918099626829e-01
-1.620000000000000107e+00,9.666202042991256516e-02,2.340275533419839890e-02,-2.713119792007078201e-01,7.543019259786554187e-01,-1.670028088239927100e-01
-1.350000000000000089e+00,9.048407559972791725e-02,1.076822589474866684e-02,-2.223190298123859654e-01,7.628885330578150104e-02,-1.715028137217994297e-01
-4.899999999999999911e-01,8.733785262025754725e-02,-1.146943884497785872e-02,-1.291886107577771003e-01,-5.942502544922788621e-01,-1.453204619028804767e-01
3.900000000000000133e-01,8.828972171952005621e-02,-1.095657678019314706e-02,-1.310941199914190947e-01,-1.081144177826191655e+00,-9.803328501402888695e-02
7.800000000000000266e-01,9.268826111460688744e-02,5.841833861530341260e-02,-1.238698820149453650e-01,-1.281659695367627361e+00,-4.463865404816580451e-02
8.900000000000000133e-01,9.859077510305060132e-02,-4.089172813573432874e-02,7.110451560189931519e-02,-1.158876003613639627e+00,-3.037729223262827360e-03
8.800000000000000044e-01,1.036176245257453832e-01,-3.037364475132706826e-02,3.081327629600671414e-01,-7.462405785822268101e-01,1.288142659077623833e-02
8.399999999999999689e-01,1.056826344933936290e-01,-5.187040765724700714e-02,2.940558869975226641e-01,-1.404027267170956106e-01,-4.864005944483120315e-04
5.600000000000000533e-01,1.034661860047112469e-01,9.927872659107003783e-02,9.131309528347256177e-02,5.175822712584698948e-01,-3.591070146697549620e-02
-1.199999999999999956e-01,9.649389776653773121e-02,5.468773515943466113e-02,-7.909970125709593625e-02,1.051556203351785790e+00,-7.619215494946141032e-02
-9.799999999999999822e-01,8.520199431437310011e-02,-4.052018183531241879e-02,-1.704939213954957400e-01,1.306026663166025337e+00,-1.009412638187552336e-01
-1.510000000000000009e+00,7.117060912478161139e-02,-9.151961065852759480e-02,-1.432465811172302927e-01,1.207054626336402592e+00,-9.689170151733716985e-02
-1.620000000000000107e+00,5.698806164805955005e-02,1.149295771687966136e-02,2.536409452606933068e-02,7.795182760477610273e-01,-6.056693579171113645e-02
-1.560000000000000053e+00,4.573964041320215113e-02,4.355748789035719659e-02,1.254884166054482386e-01,1.474009932197390682e-01,2.710235541821820124e-03
