sl.no.,rainfall,spi_6
303,10.55,-1.09
304,5.27,-0.92
305,5.27,-1.27
306,52.73,-0.31
307,26.37,0.22
308,47.46,0.80
309,26.37,1.12
310,26.37,1.51
311,15.82,1.70
312,0.00,0.69
313,10.55,0.35
314,10.55,-0.60
315,21.09,-0.76
316,31.64,-0.60
317,36.91,-0.03
318,31.64,0.69
319,21.09,0.91
320,31.64,1.32
321,21.09,1.32
322,0.00,0.69
323,10.55,0.10
324,0.00,-0.76
325,21.09,-0.76
326,21.09,-1.09
327,42.19,-0.45
328,31.64,0.35
329,26.37,0.69
330,21.09,1.12
331,26.37,1.22
332,15.82,1.12
333,31.64,0.91
334,15.82,0.58
335,10.55,0.22
336,15.82,0.10
337,5.27,-0.45
338,36.91,0.10
339,0.00,-0.76
340,26.37,-0.45
341,36.91,0.22
342,68.55,1.32
343,15.82,1.51
344,15.82,1.12
345,5.27,1.22
346,10.55,0.91
347,5.27,0.22
348,10.55,-1.46
349,15.82,-1.46
350,5.27,-1.87
351,15.82,-1.46
352,15.82,-1.27
353,15.82,-0.92
354,0.00,-1.27
355,26.37,-0.92
356,5.27,-0.92
357,15.82,-0.92
358,10.55,-1.09
359,26.37,-0.76
360,0.00,-0.76
361,15.82,-1.09
362,10.55,-0.92
363,31.64,-0.45
364,26.37,-0.03
365,15.82,-0.31
366,52.73,0.91
367,31.64,1.22
368,31.64,1.61
369,21.09,1.42
370,21.09,1.32
371,10.55,1.22
372,10.55,0.35
373,5.27,-0.31
374,26.37,-0.45
375,15.82,-0.60
376,26.37,-0.45
377,5.27,-0.60
378,31.64,-0.03
379,21.09,0.35
380,21.09,0.22
381,0.00,-0.17
382,0.00,-0.92
383,15.82,-0.60
384,0.00,-1.66
385,21.09,-1.66
386,31.64,-1.27
387,31.64,-0.31
388,5.27,-0.17
389,21.09,-0.03
390,52.73,1.12
391,5.27,0.80
392,15.82,0.46
393,10.55,-0.03
394,5.27,-0.03
395,0.00,-0.60
396,0.00,-2.62
397,10.55,-2.35
398,10.55,-2.62
399,21.09,-2.10
400,26.37,-1.27
401,26.37,-0.45
402,10.55,-0.17
403,21.09,0.10
404,26.37,0.46
405,47.46,1.02
406,26.37,1.02
407,0.00,0.46
408,10.55,0.46
409,5.27,0.10
410,5.27,-0.45
411,15.82,-1.46
412,31.64,-1.27
413,15.82,-0.76
414,21.09,-0.45
415,31.64,0.22
416,5.27,0.22
417,26.37,0.46
418,21.09,0.22
419,5.27,-0.03
420,21.09,-0.03
421,26.37,-0.17
422,0.00,-0.31
423,15.82,-0.60
424,52.73,0.22
425,52.73,1.22
426,21.09,1.22
427,36.91,1.42
428,21.09,1.79
429,31.64,2.05
430,26.37,1.61
431,0.00,0.58
432,5.27,0.22
433,5.27,-0.60
434,36.91,-0.17
435,31.64,-0.17
436,36.91,0.10
437,15.82,0.46
438,0.00,0.35
439,15.82,0.58
440,31.64,0.46
441,26.37,0.35
442,10.55,-0.31
443,5.27,-0.60
444,15.82,-0.17
445,36.91,0.35
446,26.37,0.22
447,15.82,-0.03
448,15.82,0.10
449,5.27,0.10
450,21.09,0.22
451,26.37,-0.03
452,31.64,0.10
453,15.82,0.10
454,10.55,-0.03
455,15.82,0.22
456,5.27,-0.17
457,10.55,-0.60
458,21.09,-0.92
459,10.55,-1.09
460,26.37,-0.60
461,5.27,-0.92
462,10.55,-0.76
463,5.27,-0.92
464,5.27,-1.46
465,26.37,-0.92
466,15.82,-1.27
467,21.09,-0.76
468,21.09,-0.45
469,26.37,0.10
470,21.09,0.46
471,26.37,0.46
472,36.91,0.91
473,31.64,1.12
474,36.91,1.42
475,5.27,1.02
476,15.82,0.91
477,21.09,0.80
478,26.37,0.58
479,31.44,0.58
480,14.94,0.07
481,28.99,0.61
482,31.26,0.94
483,33.90,1.19
484,54.05,1.69
485,33.42,1.73
486,19.74,1.81
487,27.38,1.78
